Distance,CQI
175.04,8.0
178.06,8.0
178.06,8.0
8205.01,7.0
8205.01,5.0
8205.01,5.0
8205.01,2.0
178.06,8.0
178.06,9.0
178.06,8.0
178.06,8.0
178.06,8.0
182.25,8.0
182.25,6.0
182.25,6.0
182.25,6.0
182.25,5.0
182.25,5.0
182.25,5.0
182.25,7.0
182.25,6.0
182.25,6.0
187.35,6.0
187.35,6.0
187.35,4.0
187.35,6.0
187.35,7.0
187.35,6.0
187.35,7.0
187.35,6.0
187.35,6.0
194.97,6.0
194.97,6.0
194.97,6.0
194.97,6.0
194.97,6.0
194.97,6.0
194.97,4.0
194.97,7.0
194.97,4.0
201.99,4.0
201.99,7.0
201.99,5.0
201.99,7.0
201.99,4.0
201.99,5.0
201.99,6.0
201.99,7.0
201.99,7.0
201.99,6.0
211.63,6.0
211.63,5.0
211.63,5.0
211.63,7.0
211.63,7.0
211.63,7.0
211.63,7.0
211.63,5.0
222.01,5.0
222.01,5.0
222.01,5.0
222.01,6.0
222.01,5.0
222.01,5.0
222.01,5.0
222.01,6.0
222.01,5.0
230.98,5.0
230.98,4.0
230.98,4.0
230.98,4.0
230.98,4.0
230.98,6.0
230.98,4.0
230.98,4.0
240.3,4.0
240.3,4.0
240.3,4.0
240.3,4.0
240.3,7.0
240.3,5.0
240.3,5.0
240.3,5.0
240.3,4.0
250.55,5.0
250.55,5.0
250.55,5.0
250.55,5.0
250.55,5.0
250.55,5.0
250.55,4.0
250.55,4.0
250.55,4.0
250.55,4.0
260.58,4.0
260.58,4.0
260.58,4.0
260.58,4.0
260.58,4.0
260.58,4.0
260.58,4.0
260.58,5.0
270.51,7.0
270.51,7.0
270.51,4.0
270.51,5.0
270.51,5.0
270.51,6.0
270.51,4.0
270.51,4.0
270.51,4.0
279.57,2.0
279.57,2.0
8327.729999999998,2.0
8327.729999999998,6.0
8327.729999999998,7.0
8327.729999999998,6.0
8327.729999999998,6.0
8327.729999999998,6.0
8327.729999999998,6.0
8327.729999999998,6.0
8339.24,6.0
8339.24,6.0
8339.24,6.0
8339.24,6.0
8339.24,6.0
8339.24,5.0
8339.24,5.0
8349.7,5.0
8349.7,5.0
8349.7,5.0
8349.7,7.0
8349.7,7.0
8349.7,6.0
8349.7,6.0
8359.979999999998,6.0
8359.979999999998,6.0
8359.979999999998,8.0
8359.979999999998,8.0
8359.979999999998,6.0
8359.979999999998,5.0
8359.979999999998,5.0
8359.979999999998,6.0
8359.979999999998,7.0
8368.819999999998,6.0
8368.819999999998,6.0
8368.819999999998,6.0
8368.819999999998,6.0
8368.819999999998,6.0
8368.819999999998,6.0
8368.819999999998,9.0
8368.819999999998,7.0
8368.819999999998,4.0
8378.71,4.0
8378.71,4.0
8378.71,4.0
8378.71,4.0
8378.71,5.0
8378.71,5.0
8378.71,3.0
328.22,2.0
328.22,4.0
328.22,4.0
337.64,4.0
337.64,4.0
337.64,6.0
337.64,6.0
337.64,2.0
337.64,8.0
8388.34,4.0
8388.34,6.0
8388.34,6.0
8388.34,6.0
8398.12,9.0
8398.12,9.0
8398.12,8.0
8398.12,9.0
8398.12,8.0
8398.12,7.0
8398.12,7.0
8398.12,5.0
8398.12,5.0
8408.42,5.0
8408.42,5.0
8408.42,5.0
8408.42,5.0
8408.42,5.0
8408.42,7.0
8408.42,5.0
8408.42,5.0
8408.42,5.0
8418.43,5.0
8418.43,5.0
8418.43,7.0
8418.43,7.0
8418.43,7.0
8418.43,7.0
8418.43,7.0
8418.43,6.0
8418.43,6.0
8429.05,6.0
135.02,5.0
135.02,7.0
135.02,8.0
135.02,8.0
135.02,4.0
135.02,5.0
126.26,5.0
8439.219999999998,8.0
8439.219999999998,8.0
8439.219999999998,6.0
8439.219999999998,6.0
8439.219999999998,6.0
8439.219999999998,7.0
8439.219999999998,6.0
8449.059999999998,6.0
8449.059999999998,6.0
8449.059999999998,3.0
8449.059999999998,3.0
8449.059999999998,3.0
8449.059999999998,6.0
8449.059999999998,6.0
8449.059999999998,5.0
8459.399999999998,6.0
8459.399999999998,6.0
8459.399999999998,8.0
8459.399999999998,7.0
8459.399999999998,5.0
8459.399999999998,4.0
8459.399999999998,8.0
8459.399999999998,5.0
8469.08,5.0
8469.08,5.0
8469.08,5.0
8469.08,6.0
8469.08,6.0
8469.08,5.0
8469.08,7.0
8469.08,7.0
8479.11,7.0
8479.11,7.0
8479.11,7.0
8479.11,8.0
8479.11,8.0
8479.11,9.0
8479.11,6.0
8479.11,8.0
8489.2,5.0
8489.2,5.0
8489.2,5.0
8489.2,5.0
8489.2,5.0
8489.2,5.0
8489.2,2.0
8489.2,7.0
8489.2,4.0
8498.88,4.0
8498.88,4.0
8498.88,2.0
8498.88,7.0
442.44,10.0
442.44,5.0
442.44,5.0
442.44,5.0
442.44,5.0
453.07,5.0
453.07,5.0
453.07,4.0
453.07,1.0
8509.74,2.0
8509.74,7.0
8509.74,7.0
8509.74,7.0
8519.569999999998,7.0
8519.569999999998,6.0
8519.569999999998,4.0
8519.569999999998,5.0
8519.569999999998,4.0
463.53,8.0
463.53,7.0
463.53,4.0
463.53,6.0
473.72,6.0
473.72,6.0
473.72,4.0
8527.21,5.0
8527.21,4.0
8527.21,4.0
8527.21,4.0
473.72,4.0
484.46,8.0
484.46,8.0
484.46,8.0
484.46,3.0
484.46,3.0
484.46,4.0
484.46,4.0
484.46,6.0
484.46,5.0
494.75,5.0
494.75,5.0
494.75,4.0
494.75,4.0
494.75,5.0
494.75,3.0
494.75,3.0
494.75,1.0
505.77,1.0
8552.649999999998,1.0
8552.649999999998,8.0
8552.649999999998,5.0
8552.649999999998,5.0
8552.649999999998,5.0
8552.649999999998,5.0
8552.649999999998,7.0
8562.53,7.0
8562.53,5.0
8562.53,9.0
8562.53,5.0
8562.53,9.0
8562.53,9.0
8562.53,8.0
8562.53,8.0
8562.53,9.0
8571.02,9.0
8571.02,9.0
8571.02,8.0
8571.02,7.0
8571.02,7.0
8571.02,6.0
8571.02,6.0
8571.02,5.0
8576.95,6.0
8576.95,6.0
8576.95,6.0
8576.95,6.0
8576.95,9.0
8576.95,9.0
8576.95,9.0
8576.95,9.0
8576.95,9.0
8576.95,6.0
8584.42,6.0
8584.42,6.0
8584.42,8.0
8584.42,8.0
8584.42,1.0
8584.42,4.0
8584.42,5.0
8584.42,8.0
8591.979999999998,8.0
8591.979999999998,8.0
8591.979999999998,5.0
8591.979999999998,6.0
8591.979999999998,5.0
8591.979999999998,5.0
8591.979999999998,11.0
8591.979999999998,11.0
8591.979999999998,9.0
8591.979999999998,9.0
8597.479999999998,9.0
8597.479999999998,9.0
8597.479999999998,9.0
8597.479999999998,9.0
8597.479999999998,7.0
8597.479999999998,7.0
8597.479999999998,5.0
8597.479999999998,5.0
8603.649999999998,7.0
8603.649999999998,7.0
8603.649999999998,7.0
